event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Cameroun vs Marokko,Youssef En-Nesyri,Over 3.5,,,Spillers samlede antal skud | Youssef En-Nesyri,,2.1,Open,2026-01-09T19:00:00+00:00,3.6,Open,2026-01-09T19:00:00+00:00,,2.1,3.6,,,,,0.5833333333333334,1.7142857142857142,3.6,Betano,2.1,1.7142857142857142
Cameroun vs Marokko,Anass Salah-Eddine,Over 1.5,,,Spillers samlede antal skud | Anass Salah-Eddine,,2.88,Open,2026-01-09T19:00:00+00:00,4.85,Open,2026-01-09T19:00:00+00:00,,2.88,4.85,,,,,0.5938144329896907,1.6840277777777777,4.85,Betano,2.88,1.6840277777777777
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 1.5,1.7143,Open,Spiller Frispark Begået | Mahmoud Dahoud,nan,2.88,Open,2026-01-09T19:30:00+00:00,,,,1.7143,2.88,,0.5952430555555556,1.6799860001166658,,,,,2.88,Expekt,1.7143,1.6799860001166658
Cameroun vs Marokko,Hamza Igamane,Over 3.5,,,Spillers samlede antal skud | Hamza Igamane,,2.15,Open,2026-01-09T19:00:00+00:00,3.6,Open,2026-01-09T19:00:00+00:00,,2.15,3.6,,,,,0.5972222222222222,1.6744186046511629,3.6,Betano,2.15,1.6744186046511629
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 1.5,2.25,Open,Spiller Frispark Begået | Timothy Chandler,nan,3.75,Open,2026-01-09T19:30:00+00:00,,,,2.25,3.75,,0.6,1.6666666666666667,,,,,3.75,Expekt,2.25,1.6666666666666667
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 1.5,2.4,Open,Antal afslutninger på mål | Younes Ebnoutalib,nan,2.8,Open,2026-01-09T19:30:00+00:00,4.65,Open,2026-01-09T19:30:00+00:00,2.4,2.8,4.65,0.8571428571428572,1.1666666666666667,0.5161290322580645,1.9375000000000002,0.6021505376344085,1.660714285714286,4.65,Betano,2.8,1.660714285714286
Cameroun vs Marokko,Olivier Kemen,Over 0.5,,,Antal afslutninger på mål | Olivier Kemen,,2.5,Open,2026-01-09T19:00:00+00:00,4.15,Open,2026-01-09T19:00:00+00:00,,2.5,4.15,,,,,0.6024096385542168,1.6600000000000001,4.15,Betano,2.5,1.6600000000000001
Cameroun vs Marokko,Frank Magri,Over 1.5,,,Spillers samlede antal skud | Frank Magri,,1.44,Open,2026-01-09T19:00:00+00:00,2.37,Open,2026-01-09T19:00:00+00:00,,1.44,2.37,,,,,0.6075949367088607,1.6458333333333335,2.37,Betano,1.44,1.6458333333333335
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,1.75,Open,Antal afslutninger på mål | Carney Chukwuemeka,nan,1.7,Open,2026-01-09T19:30:00+00:00,2.87,Open,2026-01-09T19:30:00+00:00,1.75,1.7,2.87,1.0294117647058825,0.9714285714285714,0.6097560975609756,1.6400000000000001,0.5923344947735191,1.688235294117647,2.87,Betano,1.75,1.6400000000000001
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,3.6,Open,Spiller Frispark Begået | Nathaniel Brown,nan,2.2,Open,2026-01-09T19:30:00+00:00,,,,3.6,2.2,,1.6363636363636362,0.6111111111111112,,,,,3.6,Betinia,2.2,1.6363636363636362
Getafe CF vs Real Sociedad,Adrian Liso,Over 2.5,,,Spillers samlede antal skud | Adrian Liso,,2.88,Open,2026-01-09T20:00:00+00:00,4.7,Open,2026-01-09T20:00:00+00:00,,2.88,4.7,,,,,0.6127659574468085,1.6319444444444446,4.7,Betano,2.88,1.6319444444444446
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 1.5,1.9,Open,Spiller Frispark Begået | Julien Duranville,nan,3.1,Open,2026-01-09T19:30:00+00:00,,,,1.9,3.1,,0.6129032258064515,1.6315789473684212,,,,,3.1,Expekt,1.9,1.6315789473684212
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,1.85,Open,Spillers samlede antal skud | Jessic Ngankam,nan,1.75,Open,2026-01-09T19:30:00+00:00,3.0,Open,2026-01-09T19:30:00+00:00,1.85,1.75,3.0,1.0571428571428572,0.9459459459459459,0.6166666666666667,1.6216216216216215,0.5833333333333334,1.7142857142857142,3.0,Betano,1.85,1.6216216216216215
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,3.0,Open,Antal afslutninger på mål | Arthur Theate,nan,5.0,Open,2026-01-09T19:30:00+00:00,3.1,Open,2026-01-09T19:30:00+00:00,3.0,5.0,3.1,0.6,1.6666666666666667,0.9677419354838709,1.0333333333333334,1.6129032258064515,0.62,5.0,Expekt,3.1,1.6129032258064515
