event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Roma vs Sassuolo,Laurs Skjellerup,Over 2.5,3.5,Open,Spiller Frispark Begået | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 0.5,1.32,Open,Spiller Frispark Begået | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 1.5,2.55,Open,Spiller Frispark Begået | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Over 0.5,1.58,Open,Spiller Frispark Begået | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nemanja Matić,Over 0.5,1.1,Open,Spiller Frispark Begået | Nemanja Matić,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nemanja Matić,Over 1.5,1.7,Open,Spiller Frispark Begået | Nemanja Matić,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nemanja Matić,Over 2.5,3.0,Open,Spiller Frispark Begået | Nemanja Matić,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Over 0.5,1.32,Open,Spiller Frispark Begået | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Over 1.5,2.48,Open,Spiller Frispark Begået | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 0.5,1.15,Open,Spiller Frispark Begået | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 1.5,1.86,Open,Spiller Frispark Begået | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 2.5,3.4,Open,Spiller Frispark Begået | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 0.5,1.45,Open,Spiller Frispark Begået | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 1.5,3.05,Open,Spiller Frispark Begået | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Sebastian Walukiewicz,Over 0.5,1.08,Open,Spiller Frispark Begået | Sebastian Walukiewicz,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Sebastian Walukiewicz,Over 1.5,1.58,Open,Spiller Frispark Begået | Sebastian Walukiewicz,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Sebastian Walukiewicz,Over 2.5,2.7,Open,Spiller Frispark Begået | Sebastian Walukiewicz,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Over 0.5,1.42,Open,Spiller Frispark Begået | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Over 1.5,2.95,Open,Spiller Frispark Begået | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tarik Muharemovic,Over 0.5,1.18,Open,Spiller Frispark Begået | Tarik Muharemovic,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tarik Muharemovic,Over 1.5,2.0,Open,Spiller Frispark Begået | Tarik Muharemovic,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tarik Muharemovic,Over 2.5,3.7,Open,Spiller Frispark Begået | Tarik Muharemovic,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Over 0.5,1.38,Open,Spiller Frispark Begået | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Over 1.5,2.8,Open,Spiller Frispark Begået | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Over 0.5,1.22,Open,Spiller Frispark Begået | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Over 1.5,2.18,Open,Spiller Frispark Begået | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Wesley Vinícius França Lima,Over 0.5,1.24,Open,Spiller Frispark Begået | Wesley Vinícius França Lima,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Wesley Vinícius França Lima,Over 1.5,2.2,Open,Spiller Frispark Begået | Wesley Vinícius França Lima,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Woyo Coulibaly,Over 0.5,1.12,Open,Spiller Frispark Begået | Woyo Coulibaly,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Woyo Coulibaly,Over 1.5,1.75,Open,Spiller Frispark Begået | Woyo Coulibaly,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Woyo Coulibaly,Over 2.5,3.15,Open,Spiller Frispark Begået | Woyo Coulibaly,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Zeki Çelik,Over 0.5,1.38,Open,Spiller Frispark Begået | Zeki Çelik,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Zeki Çelik,Over 1.5,2.85,Open,Spiller Frispark Begået | Zeki Çelik,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Yes,4.1,Open,Spiller får kort | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alieu Fadera,Yes,3.3,Open,Spiller får kort | Alieu Fadera,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Yes,3.05,Open,Spiller får kort | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Angeliño,Yes,4.2,Open,Spiller får kort | Angeliño,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Yes,3.3,Open,Spiller får kort | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Aster Vranckx,Yes,2.5,Open,Spiller får kort | Aster Vranckx,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniel Boloca,Yes,3.65,Open,Spiller får kort | Daniel Boloca,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniele Ghilardi,Yes,4.0,Open,Spiller får kort | Daniele Ghilardi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Yes,4.1,Open,Spiller får kort | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Yes,5.75,Open,Spiller får kort | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Fali Cande,Yes,3.15,Open,Spiller får kort | Fali Cande,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Filippo Romagna,Yes,3.7,Open,Spiller får kort | Filippo Romagna,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Gianluca Mancini,Yes,3.15,Open,Spiller får kort | Gianluca Mancini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Ismael Kone,Yes,3.65,Open,Spiller får kort | Ismael Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Yes,4.35,Open,Spiller får kort | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jay Idzes,Yes,3.6,Open,Spiller får kort | Jay Idzes,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Josh Doig,Yes,3.6,Open,Spiller får kort | Josh Doig,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kostas Tsimikas,Yes,4.2,Open,Spiller får kort | Kostas Tsimikas,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kouadio Kone,Yes,4.1,Open,Spiller får kort | Kouadio Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Yes,3.35,Open,Spiller får kort | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Yes,4.3,Open,Spiller får kort | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Yes,5.6,Open,Spiller får kort | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nemanja Matić,Yes,3.1,Open,Spiller får kort | Nemanja Matić,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Yes,3.9,Open,Spiller får kort | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Yes,3.5,Open,Spiller får kort | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Yes,4.5,Open,Spiller får kort | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Sebastian Walukiewicz,Yes,2.95,Open,Spiller får kort | Sebastian Walukiewicz,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Yes,4.6,Open,Spiller får kort | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tarik Muharemovic,Yes,3.55,Open,Spiller får kort | Tarik Muharemovic,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Yes,4.1,Open,Spiller får kort | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Yes,3.6,Open,Spiller får kort | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Wesley Vinícius França Lima,Yes,3.4,Open,Spiller får kort | Wesley Vinícius França Lima,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Woyo Coulibaly,Yes,3.1,Open,Spiller får kort | Woyo Coulibaly,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Zeki Çelik,Yes,4.35,Open,Spiller får kort | Zeki Çelik,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Yes,3.2,Open,Spiller scorer | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alieu Fadera,Yes,9.5,Open,Spiller scorer | Alieu Fadera,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Yes,4.5,Open,Spiller scorer | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Angeliño,Yes,9.0,Open,Spiller scorer | Angeliño,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Yes,5.0,Open,Spiller scorer | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Aster Vranckx,Yes,12.5,Open,Spiller scorer | Aster Vranckx,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniel Boloca,Yes,10.0,Open,Spiller scorer | Daniel Boloca,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniele Ghilardi,Yes,10.0,Open,Spiller scorer | Daniele Ghilardi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Yes,8.0,Open,Spiller scorer | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Yes,2.9,Open,Spiller scorer | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Fali Cande,Yes,15.0,Open,Spiller scorer | Fali Cande,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Filippo Romagna,Yes,20.0,Open,Spiller scorer | Filippo Romagna,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Gianluca Mancini,Yes,9.0,Open,Spiller scorer | Gianluca Mancini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Ismael Kone,Yes,13.0,Open,Spiller scorer | Ismael Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Yes,8.0,Open,Spiller scorer | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jay Idzes,Yes,18.0,Open,Spiller scorer | Jay Idzes,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Josh Doig,Yes,20.0,Open,Spiller scorer | Josh Doig,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kostas Tsimikas,Yes,9.5,Open,Spiller scorer | Kostas Tsimikas,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kouadio Kone,Yes,6.0,Open,Spiller scorer | Kouadio Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Yes,6.25,Open,Spiller scorer | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Yes,3.5,Open,Spiller scorer | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Yes,4.6,Open,Spiller scorer | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nemanja Matić,Yes,19.0,Open,Spiller scorer | Nemanja Matić,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Yes,4.5,Open,Spiller scorer | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Yes,5.8,Open,Spiller scorer | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Yes,2.6,Open,Spiller scorer | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Sebastian Walukiewicz,Yes,19.0,Open,Spiller scorer | Sebastian Walukiewicz,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Yes,3.1,Open,Spiller scorer | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tarik Muharemovic,Yes,19.0,Open,Spiller scorer | Tarik Muharemovic,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Yes,4.6,Open,Spiller scorer | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Yes,4.8,Open,Spiller scorer | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Wesley Vinícius França Lima,Yes,5.5,Open,Spiller scorer | Wesley Vinícius França Lima,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Woyo Coulibaly,Yes,19.0,Open,Spiller scorer | Woyo Coulibaly,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Zeki Çelik,Yes,8.0,Open,Spiller scorer | Zeki Çelik,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Over 0.5,4.6,Open,Spillers samlede antal assister | Alessandro Arena,2026-01-10T17:00:00+00:00
