event,player,selectionLabel,marketLabel,payout_betinia,payout_expekt,payout_betano,best_bookmaker,best_payout,second_best_payout,ratio_best_over_second
Real Oviedo vs Real Betis,Luka Ilic,Yes,Spiller får kort | Luka Ilic,3.0,5.5,3.4,Expekt,5.5,3.4,1.6176470588235294
Villarreal vs Alaves,Alfonso Pedraza,Over 0.5,Spillers samlede antal assister | Alfonso Pedraza,3.2,5.5,3.4,Expekt,5.5,3.4,1.6176470588235294
Villarreal vs Alaves,Alberto Moleiro,Over 3.5,Spillers samlede antal skud | Alberto Moleiro,1.6471,2.6,4.2,Betano,4.2,2.6,1.6153846153846154
Egypten vs Elfenbenskysten,Mohamed Salah,Over 2.5,Spillers samlede antal skud | Mohamed Salah,,1.5,2.42,Betano,2.42,1.5,1.6133333333333333
Como 1907 vs Bologna,Maxence Caqueret,Over 0.5,Spillers samlede antal assister | Maxence Caqueret,,5.0,3.1,Expekt,5.0,3.1,1.6129032258064515
Levante vs Espanyol,Leandro Cabrera,Over 1.5,Spillers samlede antal skud | Leandro Cabrera,3.1,5.0,2.67,Expekt,5.0,3.1,1.6129032258064515
Algeriet vs Nigeria,Ilan Kebbal,Over 1.5,Spillers samlede antal skud | Ilan Kebbal,,1.4,2.25,Betano,2.25,1.4,1.6071428571428572
Atalanta vs Torino,Charles De Ketelaere,Over 0.5,Spillers samlede antal assister | Charles De Ketelaere,,4.5,2.8,Expekt,4.5,2.8,1.6071428571428572
Egypten vs Elfenbenskysten,Ibrahim Sangare,Over 1.5,Spillers samlede antal skud | Ibrahim Sangare,,3.25,5.2,Betano,5.2,3.25,1.6
Egypten vs Elfenbenskysten,Jean-Philippe Gbamin,Over 1.5,Spillers samlede antal skud | Jean-Philippe Gbamin,,3.25,5.2,Betano,5.2,3.25,1.6
Udinese vs Pisa,Lennon Miller,Over 2.5,Spillers samlede antal skud | Lennon Miller,2.5,4.0,,Expekt,4.0,2.5,1.6
Levante vs Espanyol,Antoniu Roca,Over 2.5,Spillers samlede antal skud | Antoniu Roca,2.75,4.5,2.82,Expekt,4.5,2.82,1.595744680851064
Atalanta vs Torino,Kamaldeen Sulemana,Over 1.5,Antal afslutninger på mål | Kamaldeen Sulemana,,3.2,5.1,Betano,5.1,3.2,1.5937499999999998
Udinese vs Pisa,Arturo Calabresi,Over 0.5,Spillers samlede antal skud | Arturo Calabresi,3.1,1.95,,Betinia,3.1,1.95,1.5897435897435899
Real Oviedo vs Real Betis,Nacho Vidal,Over 1.5,Spillers samlede antal skud | Nacho Vidal,,3.4,5.4,Betano,5.4,3.4,1.5882352941176472
Valencia vs Elche,Daniel Raba,Over 3.5,Spillers samlede antal skud | Daniel Raba,2.3637,3.75,,Expekt,3.75,2.3637,1.5864957481913948
Real Oviedo vs Real Betis,Ivan Corralejo,Yes,Spiller scorer | Ivan Corralejo,3.0,,4.75,Betano,4.75,3.0,1.5833333333333333
Algeriet vs Nigeria,Cyriel Dessers,Over 2.5,Spillers samlede antal skud | Cyriel Dessers,,1.75,2.77,Betano,2.77,1.75,1.582857142857143
Villarreal vs Alaves,Nicolas Pepe,Over 2.5,Spillers samlede antal skud | Nicolas Pepe,1.32,1.53,2.42,Betano,2.42,1.53,1.5816993464052287
Como 1907 vs Bologna,Alberto Moreno,Over 0.5,Antal afslutninger på mål | Alberto Moreno,,4.5,2.85,Expekt,4.5,2.85,1.5789473684210527
Valencia vs Elche,Lucas Nunez,Over 0.5,Antal afslutninger på mål | Lucas Nunez,1.9,,3.0,Betano,3.0,1.9,1.5789473684210527
Egypten vs Elfenbenskysten,Mahmoud Saber,Over 1.5,Spillers samlede antal skud | Mahmoud Saber,,2.0,3.15,Betano,3.15,2.0,1.575
Villarreal vs Alaves,Mariano Diaz,Yes,Spiller får kort | Mariano Diaz,2.8572,,4.5,Betano,4.5,2.8572,1.5749685006299874
Valencia vs Elche,Daniel Raba,Over 1.5,Antal afslutninger på mål | Daniel Raba,2.75,4.33,,Expekt,4.33,2.75,1.5745454545454545
Levante vs Espanyol,Pablo Martinez,Yes,Spiller får kort | Pablo Martinez,2.8,5.5,3.5,Expekt,5.5,3.5,1.5714285714285714
Udinese vs Pisa,Hassane Kamara,Yes,Spiller får kort | Hassane Kamara,3.5,5.5,,Expekt,5.5,3.5,1.5714285714285714
Valencia vs Elche,Ali Houary,Over 2.5,Spillers samlede antal skud | Ali Houary,3.5,5.5,2.82,Expekt,5.5,3.5,1.5714285714285714
Valencia vs Elche,Daniel Raba,Over 2.5,Spillers samlede antal tacklinger | Daniel Raba,3.5,5.5,,Expekt,5.5,3.5,1.5714285714285714
Villarreal vs Alaves,Sergi Cardona,Over 0.5,Spillers samlede antal assister | Sergi Cardona,,5.5,3.5,Expekt,5.5,3.5,1.5714285714285714
Levante vs Espanyol,Jose Morales,Over 2.5,Spillers samlede antal skud | Jose Morales,1.85,,2.9,Betano,2.9,1.85,1.5675675675675675
Levante vs Espanyol,Kervin Arriaga,Over 1.5,Spillers samlede antal skud | Kervin Arriaga,,3.0,4.7,Betano,4.7,3.0,1.5666666666666667
Villarreal vs Alaves,Tani Oluwaseyi,Over 3.5,Spillers samlede antal skud | Tani Oluwaseyi,1.95,1.8,3.05,Betano,3.05,1.95,1.564102564102564
Como 1907 vs Bologna,Alberto Cerri,Over 1.5,Antal afslutninger på mål | Alberto Cerri,,2.75,4.3,Betano,4.3,2.75,1.5636363636363635
Levante vs Espanyol,Leandro Cabrera,Over 0.5,Antal afslutninger på mål | Leandro Cabrera,3.2,5.0,2.6,Expekt,5.0,3.2,1.5625
Udinese vs Pisa,Matteo Palma,Over 0.5,Antal afslutninger på mål | Matteo Palma,3.2,5.0,,Expekt,5.0,3.2,1.5625
Valencia vs Elche,Cesar Tarrega,Over 2.5,Spillers samlede antal tacklinger | Cesar Tarrega,3.2,5.0,,Expekt,5.0,3.2,1.5625
Atalanta vs Torino,Gvidas Gineitis,Yes,Spiller får kort | Gvidas Gineitis,3.4,3.0,5.3,Betano,5.3,3.4,1.5588235294117647
Levante vs Espanyol,Goduine Koyalipou,Over 2.5,Spillers samlede antal skud | Goduine Koyalipou,,1.75,2.72,Betano,2.72,1.75,1.5542857142857145
Egypten vs Elfenbenskysten,Salah Mohsen,Over 3.5,Spillers samlede antal skud | Salah Mohsen,,2.8,4.35,Betano,4.35,2.8,1.5535714285714286
Udinese vs Pisa,Mehdi Leris,Over 2.5,Spillers samlede antal tacklinger | Mehdi Leris,1.2308,1.91,,Expekt,1.91,1.2308,1.5518362040948976
Egypten vs Elfenbenskysten,Jean-Philippe Krasso,Over 2.5,Spillers samlede antal skud | Jean-Philippe Krasso,,1.53,2.37,Betano,2.37,1.53,1.5490196078431373
Levante vs Espanyol,Jose Salinas,Over 0.5,Antal afslutninger på mål | Jose Salinas,2.4546,3.8,,Expekt,3.8,2.4546,1.5481137456204674
Rayo Vallecano vs Mallorca,Carlos Martin,Over 1.5,Antal afslutninger på mål | Carlos Martin,2.7143,4.2,,Expekt,4.2,2.7143,1.5473602770511734
Atalanta vs Torino,Mario Pasalic,Over 0.5,Spillers samlede antal assister | Mario Pasalic,2.8,4.33,,Expekt,4.33,2.8,1.5464285714285715
Rayo Vallecano vs Mallorca,Samu Becerra,Yes,Spiller får kort | Samu Becerra,2.75,,4.25,Betano,4.25,2.75,1.5454545454545454
Valencia vs Elche,Aimar Blazquez,Yes,Spiller scorer | Aimar Blazquez,2.75,,4.25,Betano,4.25,2.75,1.5454545454545454
Villarreal vs Alaves,Nicolas Pepe,Over 1.5,Antal afslutninger på mål | Nicolas Pepe,2.1,2.88,4.45,Betano,4.45,2.88,1.545138888888889
Como 1907 vs Bologna,Alberto Cerri,Over 2.5,Spillers samlede antal skud | Alberto Cerri,,1.62,2.5,Betano,2.5,1.62,1.5432098765432098
Villarreal vs Alaves,Tani Oluwaseyi,Over 0.5,Spillers samlede antal assister | Tani Oluwaseyi,1.6471,3.5,5.4,Betano,5.4,3.5,1.542857142857143
Algeriet vs Nigeria,Victor Osimhen,Yes,Spiller får kort | Victor Osimhen,,4.5,2.92,Expekt,4.5,2.92,1.5410958904109588
Levante vs Espanyol,Kareem Tunde,Over 1.5,Spillers samlede antal skud | Kareem Tunde,1.4167,,2.18,Betano,2.18,1.4167,1.5387873226512319
Como 1907 vs Bologna,Riccardo Orsolini,Over 1.5,Antal afslutninger på mål | Riccardo Orsolini,,5.0,3.25,Expekt,5.0,3.25,1.5384615384615385
Egypten vs Elfenbenskysten,Mohanad Lasheen,Yes,Spiller får kort | Mohanad Lasheen,,5.0,3.25,Expekt,5.0,3.25,1.5384615384615385
Algeriet vs Nigeria,Monsef Bakrar,Over 2.5,Spillers samlede antal skud | Monsef Bakrar,,1.4,2.15,Betano,2.15,1.4,1.5357142857142858
Levante vs Espanyol,Diego Pampin,Over 0.5,Spillers samlede antal skud | Diego Pampin,1.4546,1.5,2.3,Betano,2.3,1.5,1.5333333333333332
Valencia vs Elche,Ruben Iranzo,Over 0.5,Antal afslutninger på mål | Ruben Iranzo,3.2,,4.9,Betano,4.9,3.2,1.53125
Valencia vs Elche,Alvaro Nunez,Over 0.5,Spillers samlede antal skud | Alvaro Nunez,1.5834,1.5,2.42,Betano,2.42,1.5834,1.528356700770494
Rayo Vallecano vs Mallorca,Alfonso Espino,Over 0.5,Spillers samlede antal skud | Alfonso Espino,,1.06,1.62,Betano,1.62,1.06,1.528301886792453
Villarreal vs Alaves,Calebe,Over 1.5,Spillers samlede antal tacklinger | Calebe,1.25,1.91,,Expekt,1.91,1.25,1.528
Real Oviedo vs Real Betis,Giovani Lo Celso,Yes,Spiller scorer | Giovani Lo Celso,,4.5,2.95,Expekt,4.5,2.95,1.5254237288135593
Atalanta vs Torino,Lazar Samardzic,Over 0.5,Spillers samlede antal assister | Lazar Samardzic,2.3,3.5,,Expekt,3.5,2.3,1.5217391304347827
Algeriet vs Nigeria,Chidozie Awaziem,Yes,Spiller får kort | Chidozie Awaziem,,3.0,4.55,Betano,4.55,3.0,1.5166666666666666
Como 1907 vs Bologna,Ciro Immobile,Over 1.5,Spillers samlede antal skud | Ciro Immobile,,1.22,1.85,Betano,1.85,1.22,1.5163934426229508
Rayo Vallecano vs Mallorca,David Lopez,Over 0.5,Spillers samlede antal skud | David Lopez,1.9,2.88,,Expekt,2.88,1.9,1.5157894736842106
Valencia vs Elche,German Valera,Over 2.5,Spillers samlede antal tacklinger | German Valera,2.375,3.6,,Expekt,3.6,2.375,1.5157894736842106
Egypten vs Elfenbenskysten,Mohamed Hany,Yes,Spiller får kort | Mohamed Hany,,5.0,3.3,Expekt,5.0,3.3,1.5151515151515151
Rayo Vallecano vs Mallorca,Carlos Martin,Over 2.5,Spillers samlede antal skud | Carlos Martin,1.32,2.0,,Expekt,2.0,1.32,1.5151515151515151
Algeriet vs Nigeria,Alex Iwobi,Over 1.5,Spillers samlede antal skud | Alex Iwobi,,1.4,2.12,Betano,2.12,1.4,1.5142857142857145
Algeriet vs Nigeria,Ilan Kebbal,Over 0.5,Antal afslutninger på mål | Ilan Kebbal,,1.6,2.42,Betano,2.42,1.6,1.5125
Rayo Vallecano vs Mallorca,Pedro Diaz,Over 2.5,Spillers samlede antal skud | Pedro Diaz,1.8,,2.72,Betano,2.72,1.8,1.511111111111111
Como 1907 vs Bologna,Emil Holm,Over 0.5,Antal afslutninger på mål | Emil Holm,,3.25,4.9,Betano,4.9,3.25,1.5076923076923079
Egypten vs Elfenbenskysten,Oumar Diakite,Over 1.5,Spillers samlede antal skud | Oumar Diakite,,1.36,2.05,Betano,2.05,1.36,1.5073529411764703
Algeriet vs Nigeria,Ramiz Zerrouki,Over 0.5,Spillers samlede antal skud | Ramiz Zerrouki,,1.25,1.88,Betano,1.88,1.25,1.504
Valencia vs Elche,Andre Almeida,Over 2.5,Spillers samlede antal tacklinger | Andre Almeida,2.8,4.2,,Expekt,4.2,2.8,1.5000000000000002
Villarreal vs Alaves,Ismael Sierra,Yes,Spiller får kort | Ismael Sierra,2.8,,4.2,Betano,4.2,2.8,1.5000000000000002
Algeriet vs Nigeria,Cyriel Dessers,Over 1.5,Antal afslutninger på mål | Cyriel Dessers,,3.0,4.5,Betano,4.5,3.0,1.5
Algeriet vs Nigeria,Paul Onuachu,Over 3.5,Spillers samlede antal skud | Paul Onuachu,,2.1,3.15,Betano,3.15,2.1,1.5
Egypten vs Elfenbenskysten,Mahmoud Saber,Over 0.5,Antal afslutninger på mål | Mahmoud Saber,,2.0,3.0,Betano,3.0,2.0,1.5
Girona vs Ca Osasuna,Thomas Lemar,Over 1.5,Spillers samlede antal skud | Thomas Lemar,,1.3,1.95,Betano,1.95,1.3,1.5
Levante vs Espanyol,Carlos Romero,Over 1.5,Spillers samlede antal skud | Carlos Romero,2.5,3.75,2.5,Expekt,3.75,2.5,1.5
Levante vs Espanyol,Javi Puado,Yes,Spiller scorer | Javi Puado,3.0,4.5,2.87,Expekt,4.5,3.0,1.5
Rayo Vallecano vs Mallorca,Carlos Martin,Yes,Spiller scorer | Carlos Martin,3.0,4.5,,Expekt,4.5,3.0,1.5
Udinese vs Pisa,Keinan Davis,Over 4.5,Spillers samlede antal skud | Keinan Davis,3.0,4.5,,Expekt,4.5,3.0,1.5
