selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 2.5,1.62,Open,Spillers samlede antal skud | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,
Over 2.5,4.75,Open,Spillers samlede antal skud | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,
Over 1.5,2.25,Open,Spillers samlede antal skud | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,
Over 0.5,1.28,Open,Spillers samlede antal skud | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,
Over 0.5,1.2,Open,Spillers samlede antal skud | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,
Over 2.5,3.8,Open,Spillers samlede antal skud | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,
Over 1.5,1.95,Open,Spillers samlede antal skud | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,
Over 2.5,1.72,Open,Spillers samlede antal skud | Eberechi Eze,2026-01-08T20:00:00Z,Eberechi Eze,
Over 1.5,1.24,Open,Spillers samlede antal skud | Eberechi Eze,2026-01-08T20:00:00Z,Eberechi Eze,
Over 3.5,2.7,Open,Spillers samlede antal skud | Eberechi Eze,2026-01-08T20:00:00Z,Eberechi Eze,
Over 2.5,2.05,Open,Spillers samlede antal skud | Max Dowman,2026-01-08T20:00:00Z,Max Dowman,
Over 3.5,3.5,Open,Spillers samlede antal skud | Max Dowman,2026-01-08T20:00:00Z,Max Dowman,
Over 1.5,1.35,Open,Spillers samlede antal skud | Max Dowman,2026-01-08T20:00:00Z,Max Dowman,
Over 0.5,1.27,Open,Spillers samlede antal skud | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,
Over 1.5,2.15,Open,Spillers samlede antal skud | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,
Over 2.5,4.5,Open,Spillers samlede antal skud | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,
Over 1.5,4.25,Open,Spillers samlede antal skud | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch,
Over 0.5,1.75,Open,Spillers samlede antal skud | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch,
Over 1.5,5.5,Open,Spillers samlede antal skud | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington,
Over 0.5,2.05,Open,Spillers samlede antal skud | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington,
Over 0.5,3.1,Open,Spillers samlede antal skud | Rhys Williams,2026-01-08T20:00:00Z,Rhys Williams,
Over 1.5,12.0,Open,Spillers samlede antal skud | Rhys Williams,2026-01-08T20:00:00Z,Rhys Williams,
