event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Robin Koch,Over 2.5,15.0,Open,Spillers samlede antal skud | Robin Koch,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Salih Ozcan,Over 0.5,1.75,Open,Spillers samlede antal skud | Salih Ozcan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Salih Ozcan,Over 1.5,5.0,Open,Spillers samlede antal skud | Salih Ozcan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Salih Ozcan,Over 2.5,13.0,Open,Spillers samlede antal skud | Salih Ozcan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 1.5,1.08,Open,Spillers samlede antal skud | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 2.5,1.29,Open,Spillers samlede antal skud | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 3.5,1.75,Open,Spillers samlede antal skud | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 4.5,2.8,Open,Spillers samlede antal skud | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 5.5,4.5,Open,Spillers samlede antal skud | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 0.5,1.53,Open,Spillers samlede antal skud | Timothy Chandler,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 1.5,3.8,Open,Spillers samlede antal skud | Timothy Chandler,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 2.5,9.0,Open,Spillers samlede antal skud | Timothy Chandler,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Waldemar Anton,Over 0.5,1.73,Open,Spillers samlede antal skud | Waldemar Anton,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Waldemar Anton,Over 1.5,5.0,Open,Spillers samlede antal skud | Waldemar Anton,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Waldemar Anton,Over 2.5,13.0,Open,Spillers samlede antal skud | Waldemar Anton,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 0.5,1.14,Open,Spillers samlede antal skud | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 1.5,1.73,Open,Spillers samlede antal skud | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 2.5,3.4,Open,Spillers samlede antal skud | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 3.5,6.5,Open,Spillers samlede antal skud | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 4.5,13.0,Open,Spillers samlede antal skud | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 0.5,1.04,Open,Spillers samlede antal skud | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 1.5,1.22,Open,Spillers samlede antal skud | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 2.5,1.73,Open,Spillers samlede antal skud | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 3.5,3.0,Open,Spillers samlede antal skud | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 4.5,5.5,Open,Spillers samlede antal skud | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 5.5,9.5,Open,Spillers samlede antal skud | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.07,Open,Spillers samlede antal tacklinger | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,1.4,Open,Spillers samlede antal tacklinger | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,2.38,Open,Spillers samlede antal tacklinger | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,1.11,Open,Spillers samlede antal tacklinger | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 1.5,1.57,Open,Spillers samlede antal tacklinger | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 2.5,2.88,Open,Spillers samlede antal tacklinger | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 0.5,1.22,Open,Spillers samlede antal tacklinger | Aurele Amenda,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 1.5,2.15,Open,Spillers samlede antal tacklinger | Aurele Amenda,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 2.5,4.5,Open,Spillers samlede antal tacklinger | Aurele Amenda,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 0.5,1.09,Open,Spillers samlede antal tacklinger | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 1.5,1.5,Open,Spillers samlede antal tacklinger | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 2.5,2.62,Open,Spillers samlede antal tacklinger | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 0.5,1.2,Open,Spillers samlede antal tacklinger | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 1.5,2.0,Open,Spillers samlede antal tacklinger | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 2.5,4.33,Open,Spillers samlede antal tacklinger | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,1.1,Open,Spillers samlede antal tacklinger | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,1.53,Open,Spillers samlede antal tacklinger | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 2.5,2.8,Open,Spillers samlede antal tacklinger | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 0.5,1.11,Open,Spillers samlede antal tacklinger | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 1.5,1.6,Open,Spillers samlede antal tacklinger | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 2.5,3.0,Open,Spillers samlede antal tacklinger | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 0.5,1.07,Open,Spillers samlede antal tacklinger | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 1.5,1.36,Open,Spillers samlede antal tacklinger | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 2.5,2.25,Open,Spillers samlede antal tacklinger | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fabio Silva,Over 0.5,1.83,Open,Spillers samlede antal tacklinger | Fabio Silva,2026-01-09T19:30:00+00:00
